KantonsNr	Kanton	BFS	Gemeinden	Stimmberechtigte   	Stimmen   	Stimmbeteiligung   	inBetracht	oga	ja  	nein  	ja_proz
1	ZH	1	Aeugst am Albis	1326	845	63.7 	829	5	388	436	47.1 
1	ZH	2	Affoltern am Albis	6732	3676	54.6 	3616	48	1933	1635	54.2 
1	ZH	3	Bonstetten	3559	2130	59.8 	2130	24	1049	1057	49.8 
1	ZH	4	Hausen am Albis	2397	1489	62.1 	1469	10	739	720	50.7 
1	ZH	5	Hedingen	2322	1473	63.4 	1454	10	712	732	49.3 
1	ZH	6	Kappel am Albis	648	430	66.4 	428	4	250	174	59.0 
1	ZH	7	Knonau	1257	711	56.6 	706	9	369	328	52.9 
1	ZH	8	Maschwanden	470	250	53.2 	248	3	138	107	56.3 
1	ZH	9	Mettmenstetten	2947	1791	60.8 	1770	16	897	857	51.1 
1	ZH	10	Obfelden	3051	1694	55.5 	1680	17	949	714	57.1 
1	ZH	11	Ottenbach	1786	1123	62.9 	1112	8	557	547	50.5 
1	ZH	12	Rifferswil	664	437	65.8 	437	6	197	234	45.7 
1	ZH	13	Stallikon	2164	1346	62.2 	1345	12	756	577	56.7 
1	ZH	14	Wettswil am Albis	3190	2055	64.4 	2038	12	1041	985	51.4 
1	ZH	21	Adlikon	471	307	65.2 	304	2	216	86	71.5 
1	ZH	22	Benken (ZH)	599	354	59.1 	349	0	220	129	63.0 
1	ZH	23	Berg am Irchel	471	311	66.0 	308	2	198	108	64.7 
1	ZH	24	Buch am Irchel	622	404	65.0 	402	1	265	136	66.1 
1	ZH	25	Dachsen	1290	724	56.1 	715	9	372	334	52.7 
1	ZH	26	Dorf	456	287	62.9 	282	2	211	69	75.4 
1	ZH	27	Feuerthalen	2240	1256	56.1 	1243	9	705	529	57.1 
1	ZH	28	Flaach	851	572	67.2 	565	3	424	138	75.4 
1	ZH	29	Flurlingen	987	623	63.1 	618	6	261	351	42.6 
1	ZH	30	Andelfingen	1313	865	65.9 	855	11	446	398	52.8 
1	ZH	31	Henggart	1532	988	64.5 	983	6	602	375	61.6 
1	ZH	32	Humlikon	343	220	64.1 	220	4	146	70	67.6 
1	ZH	33	Kleinandelfingen	1467	894	60.9 	885	8	533	344	60.8 
1	ZH	34	Laufen-Uhwiesen	1105	685	62.0 	667	5	379	283	57.3 
1	ZH	35	Marthalen	1442	914	63.4 	908	10	603	295	67.1 
1	ZH	36	Oberstammheim	830	506	61.0 	497	5	265	227	53.9 
1	ZH	37	Ossingen	997	597	59.9 	595	3	346	246	58.4 
1	ZH	38	Rheinau	898	540	60.1 	540	9	255	276	48.0 
1	ZH	39	Thalheim an der Thur	576	344	59.7 	344	1	245	98	71.4 
1	ZH	40	Trüllikon	791	463	58.5 	462	5	310	147	67.8 
1	ZH	41	Truttikon	346	239	69.1 	234	0	149	85	63.7 
